quote,author,source,low_text
"І будзе ўнукаў панаванне
Там, дзе сягоння плача дзед!",Янка Купала,nlb.by,і будзе ўнукаў панаванне там дзе сягоння плача дзед
Няма для духа вольнага граніцы,Янка Купала,nlb.by,няма для духа вольнага граніцы
"Песні, знайце, – сэрца дар",Янка Купала,nlb.by,песні знайце – сэрца дар
"Ад прадзедаў спакон вякоў 
Мне засталася спадчына; 
Паміж сваіх і чужакоў
Яна мне ласкай матчынай",Янка Купала,nlb.by,ад прадзедаў спакон вякоў мне засталася спадчына паміж сваіх і чужакоў яна мне ласкай матчынай
"Нам трэба жыць і долю папраўляць, 
Каб нас патомкі з часам не клялі",Янка Купала,nlb.by,нам трэба жыць і долю папраўляць каб нас патомкі з часам не клялі
"Вучыся, нябожа, вучэнне паможа",Янка Купала,nlb.by,вучыся нябожа вучэнне паможа
"Славу паэтаў разносяць па свеце, 
Вянкі ўскладаюць і звоняць пахвалай, 
Я ж ціха йграю, хто ж ціхіх прымеце?",Янка Купала,nlb.by,славу паэтаў разносяць па свеце вянкі ўскладаюць і звоняць пахвалай я ж ціха йграю хто ж ціхіх прымеце
"Гуслям, княжа, не пішуць законаў",Янка Купала,nlb.by,гуслям княжа не пішуць законаў
Людзьмі звацца,Янка Купала,nlb.by,людзьмі звацца
"<...>
Ачуняць, глянуць па-арлінаму смела, дружна на свет белы, загаманіць праўдай цэламу свету громка, свабодна мы зможам толькі тады, калі пад саламянымі стрэхамі нашых хат зойме пачэснае месца наша родная беларуская кніжка. Праз памяць на магільныя насыпы і крыжы, пад якімі бясчасна замарнеўшыя ў няволі спяць нашыя дзяды і прадзяды, праз памяць на сваіх матак, каторыя нас сваёй грудзёй ускарміла, – выракацца роднай мовы не маюць права.",Янка Купала,nlb.by,ачуняць глянуць па арлінаму смела дружна на свет белы загаманіць праўдай цэламу свету громка свабодна мы зможам толькі тады калі пад саламянымі стрэхамі нашых хат зойме пачэснае месца наша родная беларуская кніжка праз памяць на магільныя насыпы і крыжы пад якімі бясчасна замарнеўшыя ў няволі спяць нашыя дзяды і прадзяды праз памяць на сваіх матак каторыя нас сваёй грудзёй ускарміла – выракацца роднай мовы не маюць права
"Усю Беларусь – неаб’ятну, як мора, 
Убачыць у ясным, як сонца, святле",Янка Купала,nlb.by,усю беларусь – неаб’ятну як мора убачыць у ясным як сонца святле
Мой крык перад малітвай свету – ноль!,Янка Купала,nlb.by,мой крык перад малітвай свету – ноль
"Знаць, сіла ў сяўца немалая... 
Захоча – і свет пераверне!",Янка Купала,nlb.by,знаць сіла ў сяўца немалая захоча – і свет пераверне
"Не шукай ты шчасця, долі
На чужым, далёкім полі... 
Не шукай сабе, мой братку, 
З ветрам Бацькаўшчыну-матку",Янка Купала,nlb.by,не шукай ты шчасця долі на чужым далёкім полі не шукай сабе мой братку з ветрам бацькаўшчыну матку
"На беларускую дзяўчыну
Ніхто йшчэ каменем не кінуў
І не паважыцца кідаць",Янка Купала,nlb.by,на беларускую дзяўчыну ніхто йшчэ каменем не кінуў і не паважыцца кідаць
"Без кахання шчасця, долі
Няма на зямлі",Янка Купала,nlb.by,без кахання шчасця долі няма на зямлі
