page,category,proverb
11,ПРЫКАЗКІ І ПРЫМАЎКІ,"Абедаў, а жывот не ведаў. 
Гэтак кажа той, хто ўстаў галодны з-за стала."
11,ПРЫКАЗКІ І ПРЫМАЎКІ,"Або пан, або прапаў. 
Так кажуць, калі пачынаюць рызыкоўную справу."
11,ПРЫКАЗКІ І ПРЫМАЎКІ,"Абы балота, а чэрці знойдуцца. 
“Былі б рукі, а работа для йіх заўсёды знойдзяцца” (тлум. інф.)."
11,ПРЫКАЗКІ І ПРЫМАЎКІ,"Абы шыя, а хамут знойдзецца. 
Так жартоўна суцяшаюць кавалера, які думае, што не знойдзе сабе пары."
11,ПРЫКАЗКІ І ПРЫМАЎКІ,"Абяцанка - цацанка, а дурню радасць. 
Пра абяцанне, якое цешыць, але не будзе выкананае."
11,ПРЫКАЗКІ І ПРЫМАЎКІ,"Агонь вадою тушаць, а сварку маўчаннем."
11,ПРЫКАЗКІ І ПРЫМАЎКІ,"Агонь горшы за злодзея: злодзей хоць вуглы пакіне, а агонь нічога."
11,ПРЫКАЗКІ І ПРЫМАЎКІ,"Агуркамі вячэру не адбудзеш. 
Пасля цяжкай працы патрэбна сытная яда."
11,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ад аднаго берага адарваўся, а да другога не прыстаў. 
Пра чалавека, які не трымаецца свайго, роднага."
12,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ад думкі галава баліць. 
Звычайна кажуць тады, калі нешта моцна турбуе, палохае нявырашанасцю, вымагае пільнага абдумвання."
12,ПРЫКАЗКІ І ПРЫМАЎКІ,"Аддай рукамі, будзеш забіраць нагамі. 
“Бывая, пазычыш каму што, то папаходзіш, каб аддаў” (тлум. інф.). 
а) Даў рукамі, хадзі нагамі. 
“Пазычыць лёхко, а пасьля папаходзіш, каб вярнуць пазычанае” (тлум. інф.)."
12,ПРЫКАЗКІ І ПРЫМАЎКІ,"Аддам на святыя ніколі. 
Пра чалавека, які клянецца аддаць пазыку, але якому няма веры."
12,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адзін Бог без граху. 
Кажуць, калі спрабуюць апраўдаць, патлумачыць свае ці чужыя ўчынкі, паводзіны, на думку іншых людзей, не зусім прыстойныя."
12,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адзін Бог святы ведае, што будзе."
12,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адзін дуб у полі - то не лес. 
Без людзей, без людской падмогі не пражывеш."
12,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адзін з'еш вала - адна хвала. 
Кажуць, калі хваляць гасціннага чалавека, упікаючы гэтым скупога."
12,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адзін раз густа, а другі пуста. 
Пра непрактычнасць, марнатраўства іншага чалавека."
12,ПРЫКАЗКІ І ПРЫМАЎКІ,Адзін раз ехлусіш - другі не павераць.
12,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адзін скача, другі плача, трэці песенькі пяе. 
Пра разнастайнасць, рознабаковасць, непрадказальнасць жыцця."
13,ПРЫКАЗКІ І ПРЫМАЎКІ,Ад зладзейства не разжывешся.
13,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ад злосці баляць косці. 
'я Падст. “У злоснаго чалавека заўсёды кепскі настрой, у яго ўсё баліць” (тлум. інф.)."
13,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ад зямлі адарваўся, а да неба не дастаў. 
З пэўнай іроніяй кажуць пра таго, хто перабольшвае свае магчымасці."
13,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ад коласу да коласу - не чуваць бабскага голасу. 
Рэдкая збажына, будзе слабы ўраджай."
13,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ад коласу да коласу няма месца і воласу. 
“Кажуць, калі густая збажына, калі павязьніка чакая шмат работы” (тлум. інф.). Павязьнік - дзяцюк, які вяжа снапы і ставіць мэндлі."
13,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ад курыцы плота няма. 
“Ад дурноты німа ратунку, німа абароны” (тлум. інф.)."
13,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ад ляносці не баляць косці. 
Так дакараюць гультая ці смяюцца з яго."
13,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адзін строчыцца, а ўсім хочацца. 
Страчыцца - гізаваць. Так кажуць пра карову, якая ўцякае ад гіза. Тут: пра чалавека, які ўвяжацца ў непатрэбную справу ды іншых за сабой цягне."
13,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адзін у плот, другі ў агарод. 
Так кажуць, калі ўбачаць, што людзі ніяк не паразумеюцца."
13,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адклад не ідзе на лад. 
Не адкладвай работу на потым, старайся яе выканаць адразу."
14,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адна бяда не ходзіць, за сабою другую (сем) водзіць. 
Кажуць, спагадаючы таму, каго апанавала бяда."
14,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адна галава добра, а дзве лепей. 
Пры вырашэнні жыццёвых праблем добра параіцца з іншым чалавекам."
14,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адна галавешка не гарыць, дзве лепей. 
Г. зн. у пары, у шлюбе лепей жыць."
14,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адна паршывая авечка ўвесь статак псуе. 
а) Адно цяля паганае ўсю чараду апаганіць. 
“Нягодны чалавек усё сяло абняславіць” (тлум. інф.)."
14,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адна скула замінае. 
У гаспадарцы прыдасца нават, здавалася б, непатрэбная рэч."
14,ПРЫКАЗКІ І ПРЫМАЎКІ,"Аднаго бацькі дзеці. 
Ёсць тое, што яднае людзей, - сям”я, род."
14,ПРЫКАЗКІ І ПРЫМАЎКІ,"Аднае маткі дзяткі, ды не аднае ўхваткі. 
“Ероў адна, а повад розны” (тлум. інф.). Повад - паводзіны, характар."
14,ПРЫКАЗКІ І ПРЫМАЎКІ,"Аднаму і ля кашы няспорна. 
“Безь люцкой помачы ні пражывеш” (тлум. інф.)."
14,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адно вока бачыць далёка, а два - яшчэ далей. 
У жыцці спадзявайся не толькі на сябе, але слухай і іншых."
14,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адно дзіця, як вока ў лобе."
15,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ад паклону спіна не баліць. 
“Каб дабіцца праўды, трэба пакланіцца: ат паклону сьпіна не баліць” (тлум. інф.). 
а) Ад паклону галава не адваліцца."
15,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ад парога падлогу не мятуць. 
“На ўсё на сьвеце е парадак” (тлум. інф.)."
