page,category,1_text,1_y_diff,2_text,2_y_diff,3_text,3_y_diff,4_text,4_y_diff,5_text,5_y_diff,6_text,6_y_diff,7_text,7_y_diff,8_text,8_y_diff,9_text,9_y_diff,10_text,10_y_diff,11_text,11_y_diff,12_text,12_y_diff,13_text,13_y_diff,14_text,14_y_diff,15_text,15_y_diff,16_text,16_y_diff,17_text,17_y_diff,18_text,18_y_diff,19_text,19_y_diff,20_text,20_y_diff,21_text,21_y_diff,22_text,22_y_diff,23_text,23_y_diff
11,ПРЫКАЗКІ І ПРЫМАЎКІ,"Абедаў, а жывот не ведаў. Радзюк У.А., 1990 г.н., 1997. Грыўда Міл. Гэтак кажа той, хто ўстаў галодны з-за стала.",10.195953369140625,"Або пан, або прапаў. Букшта В.К., 1938 г.н., 2001. Сенькавічы Падст. Так кажуць, калі пачынаюць рызыкоўную справу.",9.955841064453125,"Абы балота, а чэрці знойдуцца. Мацвіеня В.К., 1917 г.н., 2001. Лазаўцы Міл. “Былі б рукі, а работа для йіх заўсёды знойдзяцца” (тлум. інф.).",9.835601806640625,"Абы шыя, а хамут знойдзецца. Клютко Р.А., 1960 г.н., 2003. Аўсто Стайк. Так жартоўна суцяшаюць кавалера, які думае, што не знойдзе сабе пары.",10.316986083984375,"Абяцанка - цацанка, а дурню радасць. Воўна В.Ф., 1939 г.н., 2003. Заполле Кос. Пра абяцанне, якое цешыць, але не будзе выкананае.",10.075958251953125,"Агонь вадою тушаць, а сварку маўчаннем. Зайка Ф.Я., 1907 г.н., 1990. Заполле Кос.",10.3154296875,"Агонь горшы за злодзея: злодзей хоць вуглы пакіне, а агонь нічога. Снітка Г.В., 1925 г.н., 2001. Любішчыцы Люб.",8.515472412109375,"Агуркамі вячэру не адбудзеш. Лушчык В.І., 1930 г.н., 2000. Альшаніца Квас. Пасля цяжкай працы патрэбна сытная яда.",10.19598388671875,"Ад аднаго берага адарваўся, а да другога не прыстаў. Зайка Ф.Я., 1907 г.н., 1980. Заполле Кос. Пра чалавека, які не трымаецца свайго, роднага.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ПРЫКАЗКІ І ПРЫМАЎКІ,,4.9159393310546875,"Аддай рукамі, будзеш забіраць нагамі. Лушчык В.І., 1930 г.н., 2001. Альшаніца Квас. “Бывая, пазычыш каму што, то папаходзіш, каб аддаў” (тлум. інф.). 
а) Даў рукамі, хадзі нагамі. Казімірчык А.П., 1928 г.н., 2004. Скураты Квас. “Пазычыць лёхко, а пасьля папаходзіш, каб вярнуць пазычанае” (тлум. інф.).",9.355880737304688,"Аддам на святыя ніколі. Зайка Ф.Я., 1907 г.н., 1980. Заполле Кос. Пра чалавека, які клянецца аддаць пазыку, але якому няма веры.",9.475830078125,"Ад думкі галава баліць. Жук Дз.А., 1919 г.н., 1995. Жамайдзякі Міл. Звычайна кажуць тады, калі нешта моцна турбуе, палохае нявырашанасцю, вымагае пільнага абдумвання.",7.6759033203125,"Адзін Бог без граху. Лісок Л.І., 1951 г.н., 2002. Заполле Кос. Кажуць, калі спрабуюць апраўдаць, патлумачыць свае ці чужыя ўчынкі, паводзіны, на думку іншых людзей, не зусім прыстойныя.",9.23590087890625,"Адзін Бог святы ведае, што будзе. Зайка А.П., 1911 г.н., 1980. Заполле Кос.",11.0361328125,,6.116058349609375,"Адзін дуб у полі - то не лес. Апуневіч У.С., 1923 г.н., 1996. Бялавічы Кос. 
Без людзей, без людской падмогі не пражывеш.",7.79595947265625,"Адзін з'еш вала - адна хвала. Лушчык В.І., 1930 г.н., 2000. Альшаніца Квас. Кажуць, калі хваляць гасціннага чалавека, упікаючы гэтым скупога.",7.5557861328125,"Адзін раз густа, а другі пуста. Грынчык Н.І., 1944 г.н., 2008. Івацэвічы. Пра непрактычнасць, марнатраўства іншага чалавека.",9.475982666015625,"Адзін раз ехлусіш - другі не павераць. Дакучыц С.Р., 1929 г.н., 1996. Ятвезь Квас.",9.475494384765625,"Адзін скача, другі плача, трэці песенькі пяе. Бахур Г.В., 1923 г.н., 2003. Яглевічы Ягл. Пра разнастайнасць, рознабаковасць, непрадказальнасць жыцця.",,,,,,,,,,,,,,,,,,,,,,,
13,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адзін строчыцца, а ўсім хочацца. Лушчык В.І., 1930 г.н., 2001. Альшаніца Квас. Страчыцца - гізаваць. Так кажуць пра карову, якая ўцякае ад гіза. Тут: пра чалавека, які ўвяжацца ў непатрэбную справу ды іншых за сабой цягне.",10.196144104003906,,5.99609375,"Адзін у плот, другі ў агарод. Ялоўскі У.С., 1930 г.н., 1995. Зыбайлы ўКытл. 
Так кажуць, калі ўбачаць, што людзі ніяк не паразумеюцца.",9.955764770507812,"Ад зладзейства не разжывешся. Шумовіч А.В., 1924 г.н., 1997. Хрышчонавічы Квас.",7.79510498046875,"Ад злосці баляць косці. івановіч Г.К., 1919 г.н., 2001. Халап'я Падст. “У злоснаго чалавека заўсёды кепскі настрой, у яго ўсё баліць” (тлум. інф.).",9.835891723632812,"Ад зямлі адарваўся, а да неба не дастаў. Букшта В.К., 1938 г.н., 2001. Сенькавічы Падст. З пэўнай іроніяй кажуць пра таго, хто перабольшвае свае магчымасці.",8.03582763671875,,6.236175537109375,"Адклад не ідзе на лад. Рамашка У.І., 1931 г.н., 1995. Галынка Міл. 
Не адкладвай работу на потым, старайся яе выканаць адразу.",10.07586669921875,"Ад коласу да коласу - не чуваць бабскага голасу. Гоган М.Т., 1930 г.н., 2004. Заполле Кос. Рэдкая збажына, будзе слабы ўраджай.",10.195892333984375,"Ад коласу да коласу няма месца і воласу. Лунь А.М., 1916 г.н., 1996. Заполле Кос. “Кажуць, калі густая збажына, калі павязьніка чакая шмат работы” (тлум. інф.). Павязьнік - дзяцюк, які вяжа снапы і ставіць мэндлі.",10.316131591796875,"Ад курыцы плота няма. Казімірчык А.П., 1928 г.н., 2004. Скураты Квас. “Ад дурноты німа ратунку, німа абароны” (тлум. інф.).",9.595611572265625,"Ад ляносці не баляць косці. Казімірчык А.П., 1928 г.н., 2002. Скураты Квас. Так дакараюць гультая ці смяюцца з яго.",,,,,,,,,,,,,,,,,,,,,,,
14,ПРЫКАЗКІ І ПРЫМАЎКІ,"Адна бяда не ходзіць, за сабою другую (сем) водзіць. Лушчык В.І., 1930 г.н., 2001. Альшаніца Квас. Кажуць, спагадаючы таму, каго апанавала бяда.",10.195899963378906,"Адна галава добра, а дзве лепей. Зайка Ф.Я., 1907 г.н., 1980. Заполле Кос. Пры вырашэнні жыццёвых праблем добра параіцца з іншым чалавекам.",9.7177734375,,5.275421142578125,"Адна галавешка не гарыць, дзве лепей. Лушчык В.І., 1930 г.н., 2001. Альшаніца Квас. 
Г. зн. у пары, у шлюбе лепей жыць.",10.195938110351562,"Аднаго бацькі дзеці. Зайка Ф.Я., 1907 г.н., 1980. Заполле Кос. Ёсць тое, што яднае людзей, - сям”я, род.",10.315139770507812,"Аднае маткі дзяткі, ды не аднае ўхваткі. Воўна В.Ф., 1939 г.н., 2002. Заполле Кос. “Ероў адна, а повад розны” (тлум. інф.). Повад - паводзіны, характар.",10.07696533203125,,6.35614013671875,"Аднаму і ля кашы няспорна. Зайка А.ІІ., 1911 г.н., 1980. Заполле Кос. 
“Безь люцкой помачы ні пражывеш” (тлум. інф.).",7.795806884765625,"Адна паршывая авечка ўвесь статак псуе. Куратнік І.С., 1915 г.н., 1997. Гічыцы Яг л. а) Адно цяля паганае ўсю чараду апаганіць. Лушчык В.І., 1930 г.н., 2001. Альшаніца Квас. “Нягодны чалавек усё сяло абняславіць” (тлум. інф.).",9.5955810546875,"Адна скула замінае. Казімірчык А.П., 1928 г.н., 1996. Скураты Квас. У гаспадарцы прыдасца нават, здавалася б, непатрэбная рэч.",9.715728759765625,"Адно вока бачыць далёка, а два - яшчэ далей. Шчурко М.З., 1907 г.н., 1974. Заполле Кос. У жыцці спадзявайся не толькі на сябе, але слухай і іншых.",8.15594482421875,"Адно дзіця, як вока ў лобе. Лушчык В.І., 1930 г.н., 2001. Альшаніца Квас.",,,,,,,,,,,,,,,,,,,,,,,
15,ПРЫКАЗКІ І ПРЫМАЎКІ,"“Адно дзіця альбо сірата, альбо цацка” (тлум. інф.).",10.195831298828125,,6.476127624511719,"Адно дзіця, як кол у плоце. Шчурко Ф.А., 1926 г.н., 2001. Заполле Кос. 
“Адно дзіця - гэто адзінота на ўсё жыцьцё: ні сястры, ні брата - прыперціся німа да каго” (тлум. інф.).",10.195777893066406,,6.47607421875,"Адно зерне пуды збірае. Зайка Ф.Я., 1907 г.н., 1980. Заполле Кос. 
Ашчаднасць - аснова дабрабыту.",10.315811157226562,,6.5960235595703125,"Адной рукой вузел не развяжаш. Ціток А.У., 1905 г.н., 1975. Заполле Кое. 
Без людской дапамогі цяжка справіцца з жыццёвымі турботамі.",8.755889892578125,"Адной рукой дае, а дзвюма адбірае. Карловіч І.П., 1914 г.н., 1974. Бялавічы Кос. Пра хітрага, карыслівага чалавека.",10.435897827148438,"Адно ў пушку, другое ў трыбушку. Казімірчык А.П., 1928 г.н., 2004. Скураты Кос. “Так жартуюць з мужыка й жонкі, якія багацеюць на дзяцей штогот” (тлум. інф.).",10.55584716796875,"Адны бацькі гадавалі, ды не адную долю ад Бога атрымалі. Ткачук Я.В., 1915 г.н., 1996. Міхнавічы Стайк. “Кажны чалавек мая свой лёс” (тлум. інф.).",8.515869140625,,6.716064453125,"Адны пануюць, а другія гаруюць. Стась Я.і., 1948 г.н., 1993. Заполле Кос. 
Пра маёмасную няроўнасць людзей.",8.635955810546875,"Ад паклону спіна не баліць. Лушчык В.І., 1930 г.н., 1991. Альшаніца Квас. “Каб дабіцца праўды, трэба пакланіцца: ат паклону сьпіна не баліць” (тлум. інф.). а) Ад паклону галава не адваліцца. Пархута Г.І., 1927 г.н., 2008. Жамайдзякі Міл.",10.435455322265625,,6.476104736328125,"Ад парога падлогу не мятуць. Зайка А.П., 1911 г.н., 1980. Заполле Кос. 
“На ўсё на сьвеце е парадак” (тлум. інф.).",,,,,,,,,,,,,,,,,
16,ПРЫКАЗКІ І ПРЫМАЎКІ,"Ад работы не гарбацеюць. Лушчык В.і., 1930 г.н., 2002. Альшаніца Квас. “Работа - на радасьць, работа - на здароўе” (тлум. інф.).",8.875595092773438,"Адрыгнуцца ваўку каровячыя слёзы. Лушчык В.І., 1930 г.н., 2001. Альшаніца Квас. Крыўднік паплоціцца за прычыненую крыўду.",10.675888061523438,"Ад свайго злодзея не ўсцеражэшся. Ступак М.П., 1930 г.н., 2007. Падстарынь Падст. “Калі завядзецца злодзяй у сям'і, то зь йім цяшко зладзіць” (тлум. інф.).",9.595428466796875,"Ад смерці не адмолішся, не адкупішся і не адпросішся. Прыступчык М.В., 1925 г.н., 2003. Падстарынь Падст.",8.635101318359375,"Ад сябе не схаваешся (не ўцячэш). Прымак М.І., 1919г.н., 2008. Івацэвічы. “Ад людзей можно схавацца, нешчо ўтаіць, а ат сябе нідзе спрату ні найдзеш” (тлум. інф.).",8.635833740234375,,4.9156494140625,"Ад сябе толькі курыца грабе. Лушчык В.І., 1930 г.н., 2000. Альшаніца Квас. “Кажан найперш думае пра сябе” (тлум. інф.). 
а) Усе да сябе грабуць, адна курыца ад сябе. Мацвіеня В.К., 1917 г.н., 2001. Лазаўцы Міл. “Калі ні дурань, то кажны клапоціцца пра сябе” (тлум. інф.).",9.835418701171875,"Ад цяплосці не баляць косці. Брыль А.А., 1937 г.н., 2001. Плехава Люб. Кажуць таму, хто наракае на гарачыню.",10.07598876953125,"Ажаніўся - навек жонкай падавіўся. ЖКаліс Э.В., 1939 г.н., 2003. Няхачава Стайк. Пра чалавека, які нешчаслівы ў сямейным жыцці.",9.835723876953125,"Ажаніцца - не ўпіцца. Прыступчык М.В., 1925 г.н., 2003. Падстарынь Падст. Перш чым ажаніцца, трэба добра падумаць.",9.1158447265625,"Апёкся на малацэ, то на халодную воду дзьмуць будзеш. Лушчык А.І., 1958 г.н., 1980. Альшаніца Квас.",,,,,,,,,,,,,,,,,,,,,,,,,
17,ПРЫКАЗКІ І ПРЫМАЎКІ,"Той, хто спазнаў бяду, прыкрасць, цяпер усяго баіцца.",8.515884399414062,,5.396781921386719,"Арэх і рак - адзін смак. Лушчык В.і., 1930 г.н., 2001. Альшаніца Квас. Спажываючы іх, ніколі не спатоліш голаду, ніколі не наясіся, бо яды гэтай мала. 
а) Баба і рак - адзін смак. Лушчык В.І., 1930 г.н., 2001. Альшаніца Квас.",10.915481567382812,"Ашуканствам свет пройдзеш, а назад не вернешся. Грудавы Р.А., 1904 г.н., 1984. Бялавічы Кос.",8.515121459960938,,6.5961456298828125,"Баба з воза - каню лягчэй. Бялевіч М.І., 1922 г.н., 2002. Косава. 
Калі хто адмаўляецца ад супольнай працы, то кампаньёнам ад гэтага толькі лепш: яны пазбаўляюцца ад таго, хто тармозіць справу.",10.91595458984375,"Баба і чорта перахітрыць. Бялевіч А.Ц., 1909 г.н., 1996. Рацкевічы Міл. Жанчыны, здольныя на хітрасць, вынаходлівыя.",11.035980224609375,"Баба ў тры вузлы завяжацца, а свайго даб'ецца. Шаўкун М.У., 1936 г.н., 2003. Кушняры Падст.",10.675323486328125,"Бабу б'юць за язык. Андрыяшка А.В., 1933 г.н., 2010. Размеркі Стайк. “Жанчынам шкодзіць доўгі язык, празь яго маюць непрыемнасьці” (тлум. інф.).",8.75592041015625,"Багатага і Бог любіць. Бахур І.В., 1995 г.н., 1996. Боркі Падст.",8.995452880859375,,5.5155029296875,"Багатаму і чорт дзяцей калыша. Лушчык В.і., 1930 г.н., 1998. Альшаніца Квас. 
Багатаму ўсе рады паслужыць.",10.795989990234375,"Багаты беднаму не спагадае. Зайка Ф.Я., 1907 г.н., 1980. Заполле Кос. “У багатаго ўсё е, ён ні бачыць, што бедны сядзіць бяс хлеба” (тлум. інф.). а) Багаты з беднага не спагадае. Лушчык В.І., 1930 г.н., 2002. Альшаніца Квас.",,,,,,,,,,,,,,,,,,,,,
18,ПРЫКАЗКІ І ПРЫМАЎКІ,"Багаты дзівіцца, чым бедны жывіцца. Зайка А.П., 1911 г.н., 1983. Заполле Кос. “Багатаму вечне ўсяго мало. Яму дзіво: “Мне ўсяго вобмаль, а як тады бедны жыве?” (тлум. інф.).",11.155952453613281,"Багаты спявае, а бедны плача. Бабей Р.Д., 1911 г.н., 1995. Едчыкі Квас. “Шчо б ні гаварылі, а кажнаму сваё” (тлум. інф.).",10.915725708007812,"Багаты чалавек не грашыма, а здароўем. Грудавы Р.А., 1904 г.н., Бялавічы Кос.",9.235504150390625,"Байструк - божы струк. Лушчык В.І., 1930 г.н., 2001. Альшаніца Квас. “Няшлюбнае дзіця - божае дзіця. Так кажуць людзі. Яму ў жыцьці трэба спадзявацца толькі на бога” (тлум. інф.).",10.915725708007812,,6.71612548828125,"Балота без чорта не бывае. Кот Н.М., 1945 г.н., 1993. Заполле Кое. 
Ва ўсякай грамадзе, ва ўсякім гурце знойдзецца той, хто ігнаруе правілы традыцыйнай маралі, паводзіць сябе непрыстойна.",11.035858154296875,"Бачыць вока, ды ісці далёка. Казімірчык А.П., 1928 г.н., 2001. Скураты Квас. Здаецца, і няшмат працы, але, узяўшыся за яе, патраціш многа часу.",11.037017822265625,"Баязлівы і свайго ценю баіцца. Собаль П.З., 1927 г.н., 2003. Квасевічы Квас.",12.236114501953125,"Бедавальнікаў многа, а ратавальнікаў няма. Жук Дз.А., 1919 г.н., 1995. Жамайдзякі Міл. “Пабедаваць памогуць, а вось рады якое знайсьці, памахчы німа каму” (тлум. інф.).",10.43572998046875,"Беднаму няма чаго губляць. Мяхведзь А.П., 1980 г.н., 2007. Руда Падст. “У беднаго й так нічого німа, страты ён ні баіцца” (тлум. інф.).",10.5556640625,"Без ахвоты няма работы. Бурына Ф.А., 1939 г.н., 2001. Сакоўцы Міл. На ўсякую работу трэба мець хаценне.",,,,,,,,,,,,,,,,,,,,,,,,,
19,ПРЫКАЗКІ І ПРЫМАЎКІ,,5.756172180175781,"Без Бога ні да парога. Лісок Л.І., 1951 г.н., 2001. Заполле Кос. 
Без Божага бласлаўлення не варта пачынаць ніякую справу.",10.795974731445312,"Без Божай волі з галавы і волас не ўпадзе. Суцько М.Д., 1925 г.н., 2003. Була Міл. Усё падуладна Богу.",10.7960205078125,"Без грэбеня (начыння) і вош не заб'еш. Зайка Ф.Я., 1907 г.н., 1980. Заполле Кос. “Усякае начыньне павінна быць у дбайнага гаспадара” (тлум. інф.).",8.63568115234375,"Без навукі і пастала не спляцеш. Бялевіч М.І., 1922 г.н., 2002. Косава.",10.196151733398438,,4.7956695556640625,"Без працы сядзець - можна адубець. Лушчык В.І., 1930 г.н., 2001. Альшаніца Квас. “Будзеш сядзець рукі склаўшы - з голаду памрэш” (тлум. інф.). 
а) Без працы сядзець - можна здурэць. Воўна В.Ф., 1939 г.н., 2001. Заполле Кос. У працы хутка ляціць чае.",10.795989990234375,"Без сваркі няма гаспадаркі. Шчурко Г.А., 1960 г.н., 1994. Корачын Жытл. Вядзенне сялянскай гаспадаркі нярэдка выклікае спрэчкі паміж мужам і жонкай.",12.236785888671875,"Без сякеры не цясляр, без лапаты не агароднік. Лушчык В.І., 1930 г.н., 2000. Альшаніца Квас. Кожны шануе тыя прылады працы, без якіх не можа абысціся.",10.795867919921875,"Без хлеба яда - да парога хада. Макарчэня М.М., 1934 г.н., 1995. Заполле Кос. “У хлебі жыцьцёвая сіла” (тлум. інф.).",8.755950927734375,"Белыя рукі чужой працай жывуць. Карловіч І.П., 1914 г.н., 1994. Бялавічы Кос. “Белыя рукі ў гультая” (тлум. інф.).",10.19573974609375,"Бессаромнае вока дыму не баіцца. Міхнюк Г.Ф., 1942 г.н., 2005. Размеркі Стайк. Чалавек без сораму людзей не баіцца, ён здатны на подласць.",,,,,,,,,,,,,,,,,,,,,,,
20,ПРЫКАЗКІ І ПРЫМАЎКІ,,5.6361846923828125,"Бі каня аўсом, а не пугаю. Зайка Ф.Я., 1907 г.н., 1980. Заполле Кос. 
“Дагледжанаго каня падганяць ні трэба, ён сам бяжыць. Гэдак і чалавек: калі добра пад'ясі, то й праца спорыцца” (тлум. інф.).",10.315673828125,"Блізка відаць - далёка сцібаць. Зайка Г.А., 1900 г.н., 1984. Заполле Кос. Сцібаць - ісці, крочыць.",8.995864868164062,"Блізкі сусед лепш, чым далёкая радня. Мінчук П.і., 1918 г.н., 2006. Стайкі Стайк. “Як бяда, то бяжыш да суседа, просіш, каб выручыў” (тлум. інф.).",8.515594482421875,"Бога хвалі і чорта не гняві. Лушчык В.і., 1930 г.н., 2001. Альшаніца Квас. Трэба жыць у міры і згодзе з усімі людзьмі.",8.755950927734375,"Бог высока, а пан далёка. Жук А.І., 1934 г.н., 2004. Уласаўцы Жытл. Трэба найперш спадзявацца, разлічваць на свае сілы. “Так кажуць, як німа заступцы, як чалавек бедны” (тлум. інф.).",8.395599365234375,,5.756103515625,"Бог даў - Бог узяў. Голуб В.і., 1930 г.н., 2002. Скураты Квас. 
“Даўней дактароў ні было. Захварэя дзіця - і памрэ. Такімі словамі спачувалі бацькам” (тлум. інф.).",8.275787353515625,"Бог знае куды, калі, нашто: Лушчык А.І., 1953 г.н., 2004. Альшаніца Квас.",8.63543701171875,"Бог казаў дзяліцца. Лушчык І.І., 1928 г.н., 1990. Альшаніца Квас. Трэба памагаць бедным і ўбогім.",8.515899658203125,"Бог лесу не раўняе і людзей гэтаксама. Лушчык В.І., 1930 г.н., 2001. Альшаніца Квас.",8.87542724609375,"Бога на суд не падасі. Лушчык В.і., 1930 г.н., 2001. Альшаніца Квас. “Як бог даў, так і будзе: бога на суд не падасі” (тлум. інф.).",9.715545654296875,"Бог не без міласці, свет не без добрых людзей. Шчурко Л.І., 1949 г.н., 2009. Заполле Кос.",,,,,,,,,,,,,,,,,,,,,
