category,proverb
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Зямля — маці, а праца — бацька."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,Жураўлі ляцяць высока — зіма яшчэ далека.
СЕЛЬСКАЯ ГАСПАДАРКА,"Пабыла Хімка ў лядах, пабачыла працы."
ПРОМЫСЛЫ I РАМЕСТВЫ,З рамяством дружыць — у жыцці не тужыць.
ПРАЦА,Шчырая праца — мазалёвая.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Твае хадзяйства — твая воля.
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",Свая хатка як родная матка.
ХАРЧАВАННЕ,Голад астрэй мечы.
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Не адзежа чалавека харашыць, а чалавек адзежу красіць. 
а) Не адзежа чалавека, а чалавек адзежу красіць. 
б) Не адзежа чалавека здобіць, а чалавек адзежу."
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Ладзь калёсы зімою, a сані летам. 
а) Рыхтуй летам (улетку) сані, a зімой калёсы."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,"У родным краю, як у раю. 
а) У сваім краю, як у раю. 1971, Паст.."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Бог высока, кроль далека.
а) Бог высока, цар далека. 
б) Да бога высока, да цара далека."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Поп — дзярун.
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,Хавай свае мёды для пана ваяводы.
ЗАКОНЫ. ТУРМА,"Лепш утапіцца, чым судзіцца."
СЛУЖБА. НАЙМЫ,Служба — тужба.
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Грамада — вялікі чалавек.
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Праўдзіва прыязнасць ніколі не ўмрэ.
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Бедната не адбярэ ні чэсці, ні вума."
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",Бяда беднага шукае.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Першага торгу не мінай. 
а) Першага торгу ніколі не мінай."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Гуляй, хлапец, будзе i на цябе лавец."
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,Ятвеж як еж.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Зямелька — матка наша: i корміць, i поіць, i адзяваець нас."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,Жураўлі ляцяць нізка — зіма ўжо блізка.
СЕЛЬСКАЯ ГАСПАДАРКА,"Пазналі б мяне ў лядзе, а не ў нарадзе."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Рамясло піць-есці не просщь, а само корміць."
ПРАЦА,Паносіш мазалёў — пад'ясі хлеба.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Сваё хазяйства мілей чужога царства.
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Як свой кут маю, дак нікога не дбаю."
ХАРЧАВАННЕ,Голад не цётка.
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ",Адзежа не вэдлуг чалавека.
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Хто ўвязваючы воз плача, той едучы скача."
ГРАМАДСКАЕ ЖЫЦЦЁ. РАДЗІМА. ЧУЖЫНА,"Дарагая (мілая) тая хатка, дзе радзіла мяне матка."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Пакуль да бога, то чорт душу выме; пакуль да цара, то пан i скуру здыме."
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Поп — клоп.
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,Камісар не цар.
ЗАКОНЫ. ТУРМА,"Лепш сваім паступіцца, чым судзіцца."
СЛУЖБА. НАЙМЫ,Служба — нужда.
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Моцны статак чарадою, a людзі грамадою."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Дружба мацней каменных сцен.
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Бедны — бледны.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",Бяда i на гладкай дарозе спаткае.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Не зявай, Хомка, калі ярмалка."
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Гуляй, дзяцінка, пакуль добра гадзінка. 
а) Гуляй, дзяціна, пакуль твая гадзіна."
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,Палавец — акунец.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Зямля — нас усіх маці; яна нас корміць, яна нас прыгорне. 
а) Зямелька нас корміць, а сама есці просіць."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,Зіма дзіравая не бывае.
СЕЛЬСКАЯ ГАСПАДАРКА,"Пакланіся кусту, дак ён дасць хлеба лусту."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Масцярства за плячмі не носяць, а з ім добра. 
а) Рамясло за плячыма не насіць, /."
ПРАЦА,Працы i світкі не саромейся.
