category,proverb,number,book_page
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Зямля — маці, а праца — бацька",1,51
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Жураўлі ляцяць высока — зіма яшчэ далека,288,72
СЕЛЬСКАЯ ГАСПАДАРКА,"Пабыла Хімка ў лядах, пабачыла працы",830,115
ПРОМЫСЛЫ I РАМЕСТВЫ,3 рамяством дружыць — у жыцці не тужыць,1244,146
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Твае хадзяйства — твая воля,1,185
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",Свая хатка як родная матка,315,209
ХАРЧАВАННЕ,Голад астрэй мечы,430,218
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Не адзежа чалавека харашыць, а чалавек адзежу красіць
а) Не адзежа чалавека, а чалавек адзежу красіць",1029,263
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Ладзь калёсы зімою, a  сані летам
а) Рыхтуй летам (улетку) сані, a зімой калёсы",1168,274
РАДЗІМА. ЧУЖЫНА,"У родным краю, як у раю
а) У сваім краю, як у раю",1,287
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Бог высока, кроль далека
а) Бог высока, цар далека",102,296
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Поп — дзярун,491,326
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,Хавай свае мёды для пана ваяводы,653,339
СУД. ЗАКОНЫ. ТУРМА,"Лепш утапіцца, чым судзіцца",766,349
СЛУЖБА. НАЙМЫ,Служба — тужба,888,358
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Грамада — вялікі чалавек,1012,368
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Праўдзіва прыязнасць ніколі не ўмрэ,1193,381
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Бедната не адбярэ ні чэсці, ні вума",1496,406
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",Бяда беднага шукае,1892,437
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Першага торгу не мінай
а) Першага торгу ніколі не мінай",2118,458
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Гуляй, хлапец, будзе i на цябе лавец",2585,497
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,Ятвеж як еж,2718,508
ПРАЦА,ПРАЦА  1471 Шчырая праца — мазалёвая,1470,164
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Зямелька — матка наша: i корміць, i поіць, i адзяваець  нас",2,51
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Жураўлі ляцяць нізка — зіма ўжо блізка,289,72
СЕЛЬСКАЯ ГАСПАДАРКА,"Пазналі б мяне ў лядзе, а не ў нарадзе",831,115
ПРОМЫСЛЫ I РАМЕСТВЫ,"Рамясло піць-есці не просщь, а само корміць",1245,146
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Сваё хазяйства мілей чужога царства,2,185
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ","Як свой кут маю, дак нікога не дбаю",316,209
ХАРЧАВАННЕ,Голад не цётка,431,218
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ",Адзежа не вэдлуг чалавека,1030,263
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,"Хто ўвязваючы воз плача, той едучы скача",1169,274
РАДЗІМА. ЧУЖЫНА,"Дарагая (мілая) тая хатка, дзе радзіла мяне матка",2,287
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Пакуль да бога, то чорт душу выме; пакуль да цара, то  пан i скуру здыме",103,296
"ПОП, КСЕНДЗ. ЦАРКОУНЫЯ СЛУЖКІ",Поп — клоп,492,326
ЧЫНОУНІЦТВА. НАЧАЛЬСТВА. КАЗНА. ПАДАТКІ. ХАБАРНІЦТВА,Камісар не цар,654,339
СУД. ЗАКОНЫ. ТУРМА,"Лепш сваім паступіцца, чым судзіцца",767,349
СЛУЖБА. НАЙМЫ,Служба — нужда,889,358
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Моцны статак чарадою, a людзі грамадою",1013,368
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,Дружба мацней каменных сцен,1194,381
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Бедны — бледны,1497,406
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",Бяда i на гладкай дарозе спаткае,1893,437
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Не зявай, Хомка, калі ярмалка",2119,458
"РЭКРУТЧЫНА, САЛДАТЧЫНА. ВОЙНЫ. ВОДГУКІ НА ГІСТАРЫЧНЫЯ ПАДЗЕІ","Гуляй, дзяцінка, пакуль добра гадзінка
а) Гуляй, дзяціна, пакуль твая гадзіна",2586,497
ПРАЗВАННІ ЖЫХАРОУ РОЗНЫХ МЯСЦОВАСЦЕИ,Палавец — акунец,2719,508
ПРАЦА,Паносіш мазалёў — пад'ясі хлеба,1472,164
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Зямля — нас усіх маці; яна нас корміць, яна нас прыгорне
а) Зямелька нас корміць, а сама есці просіць",3,51
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Зіма дзіравая не бывае,290,72
СЕЛЬСКАЯ ГАСПАДАРКА,"Пакланіся кусту, дак ён дасць хлеба лусту",832,115
ПРОМЫСЛЫ I РАМЕСТВЫ,"Масцярства за плячмі не носяць, а з ім добра
а) Рамясло за плячыма не насіць, /",1246,146
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Гаспадарку  весці — не лапці плесці,3,185
"ХАТА, ХАТНЯЕ АБСТАЛЯВАННЕ I НАЧЫННЕ",Няма лепшае справы ад свае хаткі,317,209
ХАРЧАВАННЕ,"Голад не цётка, з'есць, што папала",432,218
"АДЗЕННЕ, АБУТАК, УПРЫГОЖАННІ","Усякі бача, што на мне, ды не ўсякі бача, што ў мне",1031,263
ТРАНСПАРТНЫЯ СРОДКІ I ШЛЯХІ ЗНОСІН. У ДАРОЗЕ,Меншы воз — менш i слёз,1170,274
РАДЗІМА. ЧУЖЫНА,Родная зямелька як зморанаму пасцелька,3,287
