quote,author,source
"Паўстань, народ! Прачніся, беларусе!
Зірні на Бацькаўшчыну, на сябе!
Зірні, як вораг хату і зямлю раструсіў,
Як твой навала злыдняў скарб грабе!",Янка Купала,dumki.org
"З квяцістымі сонечнымі думкамі, з нязломнай верай у лепшую долю і волю пойдзем усё наперад і наперад пад святым Сцягам вольнай Беларусі.
Змагайся і стань вольным, Беларускі народ!",Янка Купала,dumki.org
"... Дык працуйма ж і далей! Сейма на роднай зямельцы здаровыя зярняты праўды, брацтва і свабоды, будзіма жывога народнага духа з магутным клікам: к сонцу і праўдзе! Будзем мець буйны ўраджай і багатае жніво. Не будзе нам страшны гэты паганы над намі торг нашых нязваных і насланых апекуноў. Ужо цяпер мы можам смела сказаць ім, як калісь сказаў Капернік аб Зямлі: ""А ўсё ж такі яна рухаецца!"", т.е. а ўсё ж такі мы жывём і будзем жыць!",Янка Купала,dumki.org
"На цябе, наша моладзь, надзея
Нашай сумнай, забранай зямлi.
Твой арлiны палёт цьмы развее
I запалiць веквечны агнi.

Ты разбудзiш прыспаныя сiлы
I на вольны паклiчаш прастор
З забыцця беспрасветнай магiлы
Да блiскучага сонца, да зор!",Янка Купала,dumki.org
"Дурню плюнь у вочы, а ён скажа: дождж ідзе!",Янка Купала,dumki.org
"Чалавек з зямлёй зрастаецца, як гэта дрэва: ссячы дрэўца — засохне, адбяры ў чалавека зямлю — згіне",Янка Купала,dumki.org
"Хай толькі асвеціць Вас адна вялікая думака, ‒ аддаць усё для сваёй Бацькаўшчыны, нават жыццё, калі яна Вас да гэтага пакліча",Янка Купала,dumki.org
"...ніколі ня будзем шчаслівы, пакуль чужая воля будзе гаспадаром над нашай воляй. Каб гэтага не было, мы павінны растаптаць, зніштожыць даўгавечную ману, якая вучыць, што мы ня ёсць мы, што мы нейкае нешта, якое абы накарміў, як быдла, дык і сыта будзе",Янка Купала,dumki.org
"...Калісь амэрыканцы, змагаючыся з Англіяй за сваю Незалежнасьць, напісалі на сваім сцягу несмяротныя словы: ""Амэрыка для амэрыканцаў"". І гэта памагло: сягоння Амэрыка вольная. Павінны пайсці і мы па яе слядох і напісаць агністымі рунамі на сваім сцягу: ""БЕЛАРУСЬ ДЛЯ БЕЛАРУСАЎ!",Янка Купала,dumki.org
"Ганьба таму чалавеку, што рукі апусціць, як перавяслы, і чакае, пакуль сама доля к яму прыйдзе ў хату і папросіцца, каб прыняў яе з ласкі свае! Ганьба таму, хто, вочы на ўсё заплюшчыўшы, будзе ісці ўцёртай здавён сцежкай няпраўды і бяспраўя, думаючы, што іначай быць ніколі не можа і што не ў яго волі змяніць стары парадак бессумленнага жыцця! Ганьба таму, хто, радзіўшыся ў ярме, валочыць яго пакорна, як вол стары, не парываючыся нават хоць на час выпрагчыся з гэтага ярма, паганячага пачуццё яго чалавечае!..",Янка Купала,dumki.org
"Спольна і згодна працаваць над адраджэньнем сваёй вялікай старонкі, здабываць для сябе лепшую долю ‒ вось наша праўдзівая мэта ў жыцьці.",Янка Купала,dumki.org
"Уставай жа, Беларусі Народзе! Пасылай сваіх сыноў бараніць свой мілы, любы край і стаяць на варце твайго дабра, твайго жыцця, твае незалежнай Беларускай Дзяржавы!",Янка Купала,dumki.org
Воля ‒ сонейку роўня,Янка Купала,dumki.org
"Не шукай ты шчасця, долі. На чужым, далёкім полі",Янка Купала,dumki.org
"Хай жыве светлая культурная праява, на чыей бы зямлі і ў якім бы народзе яна не праявілася",Янка Купала,dumki.org
Голы разбою не баіцца,Янка Купала,dumki.org
"Хто не разумее беларускай мовы, той не павінен займаць урадовай пасады на Беларусі",Янка Купала,dumki.org
"Але вырасла ўжо новая сіла, каторая павядзе за сабою беларускі народ. Ён зразумее нарэшце, што ніякая надворная апека не задаволіць яго патрэб, што ніхто не дасць спакою і парадку, апроч яго самога. Толькі ён сам уладар свае зямлі, гаспадар свайго краю, вызваліць сябе з свае нядолі. Толькі незалженая Беларусь збавіць нас раз назаўсёды ад чужой апекі і перакідвання за днаго боку на другі. Толькі Беларуская дзяржава запэўніць нам спакой, парадак і лепшую долю",Янка Купала,dumki.org
"Хай жа Беларусь пакажа, што яе верныя сыны здольны праліваць сваю гарачую кроў не толькі на чужую карысць і панаваннне, але таксама патрапюць здабыць і для сваёй зямлі лепшую долю і лепшую славу",Янка Купала,dumki.org
"Нам даюць наш сцяг у рукі і гэты сцяг мы павінны з трыумфам вынесці на жыватворнае святло будучыны, вынесці з гордасцю, з гонарам і славай, ‒ сцяг не абы-які, а свой, беларускі",Янка Купала,dumki.org
Беларускі сьцяг уваскрос!,Янка Купала,dumki.org
"Самы найлепшы прыяцель, самы найлепшы збаўца наш ад нашага ліхалецця ‒ гэта мы самі. І калі не хочам загінуць, калі не хочам быць вечнымі рабамі,‒ павінны пакінуць мы благую прывычку думаць, што нехта прыйдзе і выратуе нас з нашай бяды, з нашай няволі. Гэта ж не можа быць, каб нехта быў лепшым прыхільнікам да нас, як мы самі для сябе",Янка Купала,dumki.org
"Пачнём зьбіраць зярно к зярняці, 
Былое ў думках уваскрашаць, 
Каб быт на новы лад пачаці 
І сеўбу новую пачаць",Янка Купала,dumki.org
Дум не скуеш ланцугамі,Янка Купала,dumki.org
Кожнаму наканавана прайсьці свой шлях да свабоды асобна,Васіль Быкаў,dumki.org
Пакуты робяць чалавека чалавекам. Чалавек без пакут ‒ трава,Васіль Быкаў,dumki.org
"Не перамогчы ў сябе карысталюбца, баязліўца, не пераможаш ворага. Гэты пытанне жыцця і пытанне гісторыі",Васіль Быкаў,dumki.org
"Як і ўсе пакуты, адну душу яны спархняюць, а другую гартуюць да трываласці сталі",Васіль Быкаў,dumki.org
"Кепска неяк уладкавана ў жыцці, што ўсё ‒ і благое і добрае ‒ пазнаецца часам праз боль няўдач і памылак",Васіль Быкаў,dumki.org
Нявыказаная сёння праўда можа застацца нявыказанай ніколі,Васіль Быкаў,dumki.org
"Што тычыцца пазiцыi ўладаў да мяне, да гэтых усякiх кампанiй знявагi, то я скажу, што яны мяне мала чапаюць. Ад такiх улад iншага чакаць нельга. Я б куды горш сябе адчуваў, каб гэтыя ўлады пачалi мяне хвалiць, наблiжаць i адоваць прывiлеямi... А калi мяне там лаюць i паносяць гэтыя людзi, ну, мабыць, так сказаць, я ў iх вачах гэта заслужыў ‒ i гэта нармальна...",Васіль Быкаў,dumki.org
"Пакаленні людзей, якія за шмат гадоў прызвычаіліся існаваць у дагары нагамі перакуленым свеце, па той бок славутага люстэрка, і на старасці год не здольны зразумець свае трагедыі, ‒ гэтыя пакаленні для нацыі страчаны, таксама як і для чалавецай гісторыі",Васіль Быкаў,dumki.org
"...рана ці позна самы жорсткі і ўсеўладны дыктатарскі рэжым рухне. Рухне зусім не таму, што яго скінуць нейкія рэвалюцыйныя сілы, а по той прычыне, што матэрыяльна ён будзе пазбаўлены магчымасцей для развіцця",Васіль Быкаў,dumki.org
"Нельга з феадалізму адразу сягнуць у сацыялізм, з эканамічнага прымітыву Верхняй Вольты інтэгравацца ў высокаразвіты Еўрапейскі Эканамічны Саюз, ад бальшавіцкага лікбезу ўзвысіцца да сучаснай еўрапейскай культуры. Мусіць, спярша трэба назапасіць эканамічны, культурны, маральны капітал",Васіль Быкаў,dumki.org
Будзе незалежнай Беларусь ‒ будзе ўсё. У тым ліку мова і культура. Ня будзе незалежнасьці ‒ хутка ня будзе нічога!,Васіль Быкаў,dumki.org
"Нацыяналізм вялікай нацыі непазбежна перараджаецца ў шывінізм і імперыялізм, а нацыяналізм малой нацыі, якім бы ён ні быў, накіраваны перш за ўсё на выжыванне сваёй нацыі сярод іншых",Васіль Быкаў,dumki.org
"Мы ведаем з гісторыі, што многія народы за сваю незалежнасць пралілі мора крыві. У нас жа гэта адбылося без асаблівых высілкаў і вялікіх дэбатаў... Відаць, незалежнасць патрабуе другой цаны, другой платы",Васіль Быкаў,dumki.org
"Нармальны працэс культурнага развіцця павінны быў выглядаць так: спярша ў самым поўным аб’ёме – уласная культура, затым іншыя – расейская, нямецкая, польская, ангельская – чым болей, тым лепш, наколькі хапае да таго здольнасцяў грамадства ці асобнага яго члена",Васіль Быкаў,dumki.org
"Нацыянальнасведамая частка грамадства наіўна кідаецца ў спрэчку наконт пераваг дзвюх граматык – Тарашкевічавай і наркомаўкі, дыскутуючы аб разыходжанні ў трактоўцы мяккасці падвоеных зычных, а ў той час камуністычныя ўлады прыбіраюць пад сваю апеку ўвесь друк, маючы на мэце канчаткова ўсталяваць расейскае аднамоўе... сацыялагічныя інстытуты і агенцтвы, што сядзяць на ўтрыманні ўрада, і ў любы момант з высмактанымі з пальцаў лічбамі могуць даказаць, што беларусы – супраць беларускай мовы, а КПБ – самая папулярная сярод іх партыя...",Васіль Быкаў,dumki.org
"...на Захадзе, дзе сацыяльныя канфлікты невялікія, дзе чалавек дасягнуў многага – ну, калі не цалкам шчаслівага, дык хоць бы забяспечанага жыцця, ‒ там палітызаваная літаратура патрэбна, можа, у меншай меры. Там літаратура можа дазволіць сабе захапляцца нейкімі драбніцамі жыцця, але каб у нас...",Васіль Быкаў,dumki.org
"[пытаньне : «вас не хвалюе, што большасуь людзей чытае дэтэктывы і фантасціку? »] большасць чытае дэтэктывы? Я вам скажу, што яшчэ больш людзей есць улетку агуркі ці п’е гарэлку...",Васіль Быкаў,dumki.org
"Чалавек сталага ўзросту вельмі рызыкуе, калі выносіць нейкія ацэнкі моладзі: яны заўсёды будуць несправядлівыя",Васіль Быкаў,dumki.org
"Як сказаў адзін мой знаёмы медык, гэта не эканоміка, гэта клініка. Мабыць, ён правы",Васіль Быкаў,dumki.org
"Як гэта ні сумна, трэба прызнаць, што гісторыя сапраўды нічому не вучыць. Зараз, як і заўжды, наперадзе культуры і нават наперадзе эканомікі зноў ідэалогія з яе імперскай палітыкай, якія спакваля падпарадкоўваюць сабе ўсё, у тым ліку і правы чалавека",Васіль Быкаў,dumki.org
"Я веру, што Беларусь жыве і будзе жыць. Зробім-жа ўсё дзеля гэтага",Васіль Быкаў,dumki.org
"Талент ‒ гэта труба, вечавы звон, барабан, але не жалейка і не свісцёлка... ён з'яўляецца на свет не для таго, каб усыпляць элегіямі, а каб гучаць як сігнал трывогі",Васіль Быкаў,dumki.org
"Напэўна, самае дзейснае, самае практычнае ‒ прымусіць чалавека заглянуць у сябе, прымусіць яго ўбачыць, які ён ёсць, што ў ім ёсць подлае, а што добрае. Калі ён разбярэцца ў сабе з дапамогай мастацтва, то і будзе вынік",Васіль Быкаў,dumki.org
"Талент мае права гаварыць народу ўсю праўду пра яго існаванне, часам горкую праўду",Васіль Быкаў,dumki.org
"Няхай на іхнім баку перамога, але на нашым баку — ісціна. Праўда, з якой выстаім!",Васіль Быкаў,dumki.org
"Я добра памятаю той дзень і час, калі ня толькі я, а ўвогуле, я так лічу, і народ, страціў свабоду. Гэта, канешне, для майго пакаленьня было на пачатку 30-х гадоў. Суцэльная калектывізацыя краіны... Ня толькі свабода, але было страчана і ўсё, зьвязанае зь ёй. Адбылася, увогуле, клясычная зьява – зьнікла свабода і, як вынік таго, зьнік хлеб. Народ на доўгія дзесяцігодзьдзі ўпаў у паласу хранічнае галадоўкі. Але рэч яшчэ ў тым, ці адчуваў ён узаемазалежнасьць свабоды і хлеба? Наўрад ці. Хаця тое выдатна разумелі бальшавіцкія кіраўнікі, якія ўпарта цьвердзілі пра ""новую клясавую свабоду"", якой яны ў 17-м годзе дамагліся дзеля народу. Тое, вядома, было мана, і яны ведалі тое. Мабыць, гэта разумеў і адчуваў народ, але не хацеў верыць самому сабе, бо мана была прыгажэйшая за рэчаіснасьць, прыгажэйшая за свабоду, а можа, і за хлеб таксама",Васіль Быкаў,dumki.org
"Менавіта нацыяналізм, паводле Фрэнсіса Фукуямы, найбольш спрычыніўся да вызваленьня народаў ад камуністычнай дыктатуры. Не лібэралізм, не дэмакратыя – а менавіта нацыяналізм заняволеных камунізмам народаў. Там, дзе гэты працэс быў завершаны, зьявілася магчымасьць пераходу да дэмакратычнага лібэралізму, а дзе не завяршыўся, дзе стаўся затрыманы рэакцыйнымі сіламі – там нацыяналізм па-ранейшаму надзённы. Бо толькі нацыяналізм з найбольшай выніковасьцю здольны аб”яднаць сілы грамадзтва ў ягоным дэмакратычным разьвіцьці",Васіль Быкаў,dumki.org
"Не дасі адразу адпор ‒ неўзабаве ўзаб'юцца на карак і будуць ехаць, колькі каму захочацца",Васіль Быкаў,dumki.org
"Яны самi сябе павiнны прыкончыць. Рана цi позна. Як павукi ў банцы. Калi ў банку да iх кiнуць, напрыклад, шаршня, яны ўсе наваляцца на яго i заб’юць у момант. А калi iх там не чапаць ‒ самi сябе пажруць. Бо нiкога ня жраць яны ня могуць",Васіль Быкаў,dumki.org
"У грамадзтве, дзе кожны трэці – камуніст, а кожны другі – сексот, цяжка разьлічваць на перамогу дэмакратычнымі сродкамі",Васіль Быкаў,dumki.org
"Падпісаньне саюзнай дамовы – гэта ня толькі сумная справа, гэта ўвогуле злачынства стагодзьдзя. Гэта, безумоўна, генацыд беларускай нацыі – канец яе гісторыі",Васіль Быкаў,dumki.org
"Апошнімі гадамі ў Беларусі выпрацоўваюцца мадэлі таталітарызму, якія потым дзейнічаюць у Расеі",Васіль Быкаў,dumki.org
"Жульніцкія і шулерскія прыёмы не раскрываюцца, а яны, безумоўна, мелі месца ў беларускіх выбарах... У нас да гэтага часу камуністы ходзяць з партрэтамі Леніна-Сталіна. А наперадзе іх ідзе прэзыдэнт Лукашэнка. Беларусь выпала з нармальнага, натуральнага гістарычнага эўрапейскага працэсу. Беларусь – гэта анамалія... Выйсьце для яе – наперадзе, а яна каціцца назад. Таму інакш як самагубства я не магу гэта расцаніць",Васіль Быкаў,dumki.org
"Нацыянальная сымболіка – атрыбут нацыі. Але яе ў нас скралі, нахабна абрабавалі нацыю, што страшней за эканамічны рабунак і аналягічна нацыянальнаму генацыду. Ужо адно тое, ня кажучы пра рабунак свабоды, робіць рабаўнікоў злачынцамі – злачынцамі перад нацыяй. Нават калі яны спрабуюць падмяніць, падкласьці замест сьвятыні фальшыўку і патрабаваць да яе павагі як да сьвятыні. Гэта ўжо падвоенае злачынства",Васіль Быкаў,dumki.org
"Мне цяжка працаваць там, дзе няма свабоды",Васіль Быкаў,dumki.org
"Невялікі спакойны кут, пісьмовы стол, белае папера – гэтага хапае мне. Ня менш важная і ўпэўненасьць у тым, што мяне сярод дня ня схопяць на вуліцы незнаёмыя людзі, якім за гэта заплацілі. Я стары і ня ведаю, ці дачакаюся зьвяржэньня дыктатара Лукашэнкі",Васіль Быкаў,dumki.org
"Калі б Беларусь была менавіта незалежная, няхай бы яна была бедная, неразьвітая, адсталая ці слаба разьвітая – але калі б яна мела незалежнасьць, усё астатняе прыклалася б. А пакуль што яна не Беларусь, яна проста ператвараецца ў чарговую губэрню Расеі. Хіба не пра гэта сьведчыць уся палітыка сучаснага беларускага рэжыму?",Васіль Быкаў,dumki.org
"Цяпер ідзе разгром нацыянальнай культуры. Беларускую мову, і без таго пераўтвораную ў помесь, ў трасянку, улады канчаткова перасталі падтрымліваць і сказалі, што яна ім непатрэбная",Васіль Быкаў,dumki.org
"Праўда ў гісторыі ‒ функцыя адназначная, з яе робяць урокі. З хлусні ніякіх урокаў не зробіш, апроч новай хлусні",Васіль Быкаў,dumki.org
"Чалавек, як i кожная жывая iстота ад Бога, нараджаецца свабодным",Васіль Быкаў,dumki.org
Порахам чалавека ня выхаваеш,Васіль Быкаў,dumki.org
"Я ‒ беларус, мая родная мова ‒ беларуская",Васіль Быкаў,dumki.org
"Верныя рыцары рашучай фразы, яны сьпярша ап'янілі тых, хто іх слухаў на ўсіх тых шматлюдных мітынгах, а затым неўпрыцям і самі паверылі ў свае прыгожыя словы. Калі ж і самі сталі нявольнікамі ўласных хмельных прамоваў, тады ўжо нічога нельга было ні спыніць, ні перайначыць",Васіль Быкаў,dumki.org
"Чалавек, які аднойчы адмовіўся ад волі, назаўжды робіцца вязнем",Васіль Быкаў,dumki.org
Вайна бязлітасная да кожнага,Васіль Быкаў,dumki.org
Вайна надзіва сляпая ў адносінах да людзей і далёка не па іхніх заслугах распараджаецца жыццямі,Васіль Быкаў,dumki.org
"Каб дасягнуць мэты, часам трэба да апошняй магчымасці змагацца з магутнаю сілай абставін",Васіль Быкаў,dumki.org
"Мова – аснова ня толькі нацыянальнай культуры, але і існаваньня нацыі, існаваньня этнасу",Васіль Быкаў,dumki.org
Толькі пры свабодзе і Незалежнасьці магчымы працяг беларускай гісторыі,Васіль Быкаў,dumki.org
"Чалавек, часам нягледзячы ні на што, становіцца вышэй за свой лёс і, значыцца, вышэй за магутную сілу выпадку",Васіль Быкаў,dumki.org
Шляхі-дарогі роднага краю ўплываюць на шлях чалавечага жыцця,Васіль Быкаў,dumki.org
"Не чужой якой мовай, але сваёй уласнай законы пісаныя маем і на любую крыўду адпор сваімі законамі дадзім. (Старажытнабеларускі арыгінал: ""Не обчим яким языком, але своим власным права списаные маем и каждого часу чого нам потреба ку отпору всякое крывды ведати можем"")",Леў Сапега,dumki.org
"У прававой дзяржаве павінен кіраваць закон, а не асоба",Леў Сапега,dumki.org
"Для прыстойнага чалавека няма большай асалоды, як жыць у сваёй айчыне ў поўнай бясьпецы, ні з кім ня біцца і не сварыцца і каб ніхто яго не зьняславіў ці пакалечыў або паквапіўся на яго дабро",Леў Сапега,dumki.org
"З’яўляемся нявольнікамі правоў дзеля таго, каб карыстацца свабодай",Леў Сапега,dumki.org
"Мудрыя людзі ўсіх стагоддзяў сыходзіліся на думцы, што ў кожным – калі б яно не ўтварылася – гаспадарстве дастойнаму чалавеку нічога не можа быць даражэй за вольнасць. Затое няволя яму настолькі агіднаю мае быць, што не толькі маёмасцю, але і смерцю яе адганяць ад сябе павінен",Леў Сапега,dumki.org
"Закон і ўсталёўваецца на тое, каб дужы-заможны не ўсё, што яму зажадаецца, чворыў",Леў Сапега,dumki.org
"Мэта і вынік усіх законаў, што існуюць на свеце,– каб кожны добрую славу сваю, здароўе і скарб-нажытак меў непашкоджанымі і страты ў гэтым ніколі не спадкаваў",Леў Сапега,dumki.org
"Наша вольнасць, якою мы ганарымся сярод хрысціянскіх народаў, найперш у тым палягае, што пана, які б панаваў не паводле законаў, але паводле жадання свайго, над сабой не маем, а самі валодаем сваёй славай, нажыткам сваім і сваім жыццём",Леў Сапега,dumki.org
"Усякі жыхар, што сваёю вольнасцю ганарыцца, але не хоча ні ўведаць, ні зразумець закону, якім абаронена вольнасць яго, заслугоўвае ганьбавання",Леў Сапега,dumki.org
"Пільнуйцеся, каб абіраліся і ў суды, і ў трыбуналы людзі, якія не толькі добра дасведчаныя ў законах, але і сумленне маюць, і Бога баяцца; якія б дзеля спажытку свайго, ласункаў ды падарункаў, на шкоду бліжнім законаў не перакручвалі, але, простай дарогаю ідучы, трымаліся праўды святой і людской справядлівасці і захавалі вольнасць, якою мы цешымся, у цэласнасці непарушнай",Леў Сапега,dumki.org
"Гісторыя... Мне здаецца, супраць яе больш за ўсе лямантуюць тыя, каму нявыгадна, каб людзі разбіраліся ў сенняшнім дні",Уладзімер Караткевіч,dumki.org
Але каханне не памірае...,Уладзімер Караткевіч,dumki.org
"Вечна тваім застанецца толькі тое, што ты аддаў",Уладзімер Караткевіч,dumki.org
