phrase,category,source,source_type,full_source
Хто бачыў сьмерць душы?,Ігар Бабкоў,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
Чалавечае жыцьцё праходзіць паміж успамінам і надзеяй.,Ігнат Ходзька,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Верш нараджаецца не з уласнага «хачу», а зь безабароннага «хочацца».",Алесь Разанаў,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Пакуль дашукаесься адной школы з кніжкамі, пройдзеш трыццаць корчмаў з гарэлкай.",Аляксандар Ельскі,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Усё будзе добра, толькі нічога ня трэба рабіць.",Аляксандар Уласаў,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Літаратурны набытак эміграцыі вызначаецца ня толькі тым, што ёй створана, але й тым, што яна зьберагла.",Аляксей Каўка,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Дзе сёньня мяжа паміж свабодай і няволяй? Дзе крытэр, каб адрозьніць вольнага чалавека ад нявольніка? Гэтая мяжа – не турма. Сёньня ў турме можна быць больш вольным, чымся “на волі”. Мяжа паміж свабодай і няволяй у першую чаргу ў нас самых.",Аўген Калубовіч,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
Людзі доўга не жывуць.,Барыс Пятровіч,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Нацыя -- гэта нішто іншае, як міт пра Нацыю.",Валянцін Акудовіч,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Калі ты ня ўмееш сам забаўляцца, дык табой забаўляюцца іншыя.",Валянцін Акудовіч,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Як заўжды на вайне, галоўная плата – кроў, і плаціць той, хто найменш вінаваты.",Васіль Быкаў,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Чалавек, як i кожная жывая iстота ад Бога, нараджаецца свабодным.",Васіль Быкаў,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
Порахам чалавека ня выхаваеш.,Васіль Быкаў,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Менавіта нацыянальная ідэя спараджае ідэю палітычнага выбару, выбару свабоды.",Вінцук Вячорка,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
Працэнт адказных людзей у грамадзтве наўрад ці моцна мяняецца. Адказных за сябе й ня толькі заўсёды меншасьць. Адказнасьцю не заразіш.,Вінцук Вячорка,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Той сумленна рассудзіць, хто сабе не даруе...",Генадзь Бураўкін,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Багацее ня той, хто шмат працуе, а той, хто ўмее гаспадарыць.",Зянон Пазьняк,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Праходзіць час, і фатаграфія шчыміць.",Зянон Пазьняк,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"З Бацькаўшчынай — як з каханай, добра быць разам, ісьці па яе дарогах, ляцець, каб убачыць усю.",Зянон Пазьняк,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Не сумуйце, як тыя, што надзеі ня маюць.",Казімер Сваяк,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Каб сонца засланіць, вушэй асьліных мала.",Кандрат Крапіва,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
Кожны раз чалавецтва бліжэй да шчасьця на вышыню нашых магіл.,Кастусь Каліноўскі,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Не народ для ўрада, а ўрад для народа.",Кастусь Каліноўскі,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Няма, браткі, большага шчасьця на гэтым сьвеце, як калі чалавек мае розум і навуку ў галаве.",Кастусь Каліноўскі,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Быць паэтам знача ня толькі любоў зьняволеных землякоў, але й помста сільных ворагаў нашай зямлі і свабоды.",Ларыса Геніюш,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"У жыцьці няма нічога вечнага, бо жыцьцё самое да пары.",Ларыса Геніюш,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Мы павінны быць рабамі законаў для таго, каб мець магчымасьць карыстацца свабодай.",Леў Сапега,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Для прыстойнага чалавека няма большай асалоды, як жыць у сваёй айчыне ў поўнай бясьпецы, ні з кім ня біцца і не сварыцца і каб ніхто яго не зьняславіў ці пакалечыў або паквапіўся на яго дабро.",Леў Сапега,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Перад тварам сьмерці кожны ня рыцар, а толькі пілігрым-вандроўнік.",Макалай Крыштаф Радзівіл Сіротка,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Добра быць коласам, але шчасьлівы той, каму давялося быць васільком. Бо нашто каласы, калі няма васількоў?",Максім Багдановіч,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
Хваробы лечаць і атрутамі.,Максім Багдановіч,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Няма красы без спажытку, бо сама краса і ёсьць той спажытак для душы.",Максім Багдановіч,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Эх, чалавек, чалавек! Усё роўна не дабіцца табе, адкуль усё і што яно…",Максім Гарэцкі,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
"Народ можа дараваць пісьменьнікам многае, але ня можа дараваць маўчаньня ў часы, калі вырашаецца яго лёс.",Максім Танк,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
Кажуць: зло нараджае зло. А найчасьцей – яго нараджае надзея на адпушчэньне грахоў.,Максім Танк,svaboda.org,webpage,https://www.svaboda.org/a/24255332.html
