quote,author,source
"І будзе ўнукаў панаванне
Там, дзе сягоння плача дзед!",Янка Купала,nlb.by
Няма для духа вольнага граніцы,Янка Купала,nlb.by
"Песні, знайце, – сэрца дар",Янка Купала,nlb.by
"Ад прадзедаў спакон вякоў 
Мне засталася спадчына; 
Паміж сваіх і чужакоў
Яна мне ласкай матчынай",Янка Купала,nlb.by
"Нам трэба жыць і долю папраўляць, 
Каб нас патомкі з часам не клялі",Янка Купала,nlb.by
"Вучыся, нябожа, вучэнне паможа",Янка Купала,nlb.by
"Славу паэтаў разносяць па свеце, 
Вянкі ўскладаюць і звоняць пахвалай, 
Я ж ціха йграю, хто ж ціхіх прымеце?",Янка Купала,nlb.by
"Гуслям, княжа, не пішуць законаў",Янка Купала,nlb.by
Людзьмі звацца,Янка Купала,nlb.by
"<...>
Ачуняць, глянуць па-арлінаму смела, дружна на свет белы, загаманіць праўдай цэламу свету громка, свабодна мы зможам толькі тады, калі пад саламянымі стрэхамі нашых хат зойме пачэснае месца наша родная беларуская кніжка. Праз памяць на магільныя насыпы і крыжы, пад якімі бясчасна замарнеўшыя ў няволі спяць нашыя дзяды і прадзяды, праз памяць на сваіх матак, каторыя нас сваёй грудзёй ускарміла, – выракацца роднай мовы не маюць права.",Янка Купала,nlb.by
"Усю Беларусь – неаб’ятну, як мора, 
Убачыць у ясным, як сонца, святле",Янка Купала,nlb.by
Мой крык перад малітвай свету – ноль!,Янка Купала,nlb.by
"Знаць, сіла ў сяўца немалая... 
Захоча – і свет пераверне!",Янка Купала,nlb.by
"Не шукай ты шчасця, долі
На чужым, далёкім полі... 
Не шукай сабе, мой братку, 
З ветрам Бацькаўшчыну-матку",Янка Купала,nlb.by
"На беларускую дзяўчыну
Ніхто йшчэ каменем не кінуў
І не паважыцца кідаць",Янка Купала,nlb.by
"Без кахання шчасця, долі
Няма на зямлі",Янка Купала,nlb.by
"Хто не любіць волі, – не нашага роду",Янка Купала,nlb.by
Песня мая не ўзышла сярод кветак,Янка Купала,nlb.by
"Ты зжылося з намі, бацькаўскае слоўца, 
Як бы корань з дрэвам, як бы зь небам сонца; 
Дзеліш з намі вечна ўсё, што з намі ходзе 
У благой і добрай мачысе-прыгодзе. I мы самі нават мо’ не спазнавалі, 
Як у думках нашых цябе гадавалі, 
Як цябе хавалі ў шчасьці і няшчасьці 
Ад напраснай злосьці, ад людской напасьці.",Янка Купала,nlb.by
"<…>
Будзіцца самапачуццё народнае, падымае старонка наша свае вочы к сонцу і распрастоўвае свае магучыя плечы. Мілаванне свайго роднага слова, сваёй ядынай бацькаўшчыны Беларусі бярэ верх над адступніцтвам і прадажніцтвам сябе ў чужую няволю.",Янка Купала,nlb.by
"Як жыло ты з намі – будзеш вечна жыці, 
Грамадой мільёнаў з светам гаманіці... 
З попелу мінуўшых дзён сляпых, крывавых
Весела ўзойдзе рунь святлянай славы, І радзімым словам рукой мазалістай
Беларус упіша на старонцы чыстай
Кнігі ўсіх народаў важна, у непрымусе
Сумную аповесць роднай Беларусі.",Янка Купала,nlb.by
"Асцярожна, ясны пане,
З грозьбамі сваімі!",Янка Купала,nlb.by
"Покі Юрка не меў чына, 
Быў нішто сабе дзяціна",Янка Купала,nlb.by
"Ёсць жа вялікая праўда на свеце –
Праўда, сілаю роўная сонца агням",Янка Купала,nlb.by
"Само сонца ўзяць у рукі
І, як з паходняй, з ім ісці",Янка Купала,nlb.by
"Памёр пясняр... 
А песня будзе жыць і жыць",Янка Купала,nlb.by
"Ніколі, браткі, не забуду, 
Што чалавек я, хоць мужык",Янка Купала,nlb.by
"Ад вёскі адбіўся, у палац не папаў",Янка Купала,nlb.by
"К праўдзе ўвагі не знае, не чуе, 
Як змяя, чалавечая злосць",Янка Купала,nlb.by
Кожны народ сам сабе пан,Янка Купала,nlb.by
"<…>
Беларус-католік ці беларус-праваслаўны павінны тое помніць, што ў іх адна Бацькаўшчына – Беларусь, адна мова родная – беларуская, адны звычаі і абычаі, адвеку перадаваныя з пакалення ў пакаленне.",Янка Купала,nlb.by
"Слова, дум ніхто не звяжа",Янка Купала,nlb.by
Не скуеш толькі дум ланцугамі,Янка Купала,nlb.by
"Ведае свет, што вялікіх дум цвет
Адно толькі на зломе ўзрастае",Янка Купала,nlb.by
"Слоў не крышыць ні век, ні тапор",Янка Купала,nlb.by
"Ты так жа, брат, сееш... а дзе ж тваё жніва",Янка Купала,nlb.by
