quote,author,source
"Гасподзь схіляецца да ўсіх, ды ніцых духам Ён ня чуе.",Ніна Мацяш,svaboda.org_a_24255332.html
"Гасподзь схіляецца да ўсіх, ды ніцых духам Ён ня чуе.",Ніна Мацяш,svaboda.org_a_24255332.html
"Хоць, праўда, хлеб ядуць і з вуды, але не ўсе і не заўсюды.",Якуб Колас,svaboda.org_a_24255332.html
"Гаршчок агорнуты пашанай, хоць ён фаміліі глінянай.",Якуб Колас,svaboda.org_a_24255332.html
"Добра быць у дарозе, якую ты сам сабе выбіраеш.",Якуб Колас,svaboda.org_a_24255332.html
"У істоце кожнага страху ляжыць наша няведаньне, наша цемната.",Якуб Колас,svaboda.org_a_24255332.html
"Сьмерць кожны дзень ходзіць вакол, кожную хвіліну нішчыць і маладзенькія, і старыя формы жыцьця, і мы не зварачаем на гэта ўвагі, і толькі тады яна робіць моцнае ўражаньне, калі ўмірае хто блізкі або калі наваліцца мор і людзі пачынаюць уміраць агулам – тады чалавека ахоплівае жах і ён губляе галаву. І вось што цікава. Калі парушаюцца драбязговыя правы, то чалавек гатоў грызьціся за гэта і кусацца зубамі; там жа, дзе разьбіваецца сама аснова, прынцып, ён згінае сваю галаву і моўчкі падстаўляе яе пад абух.",Якуб Колас,svaboda.org_a_24255332.html
Крыкі спрэчкі не разьвяжуць.,Якуб Колас,svaboda.org_a_24255332.html
"Назад ня прыйдзе хваля тая, што з быстрай рэчкай уплывае.",Якуб Колас,svaboda.org_a_24255332.html
"Корань навукі горкі, ды плады яго салодкія.",Якуб Колас,svaboda.org_a_24255332.html
Без атак і абароны няма сапраўднае вайны.,Якуб Колас,svaboda.org_a_24255332.html
"Паэт – ён гарыць, як балючы гузак на лобе абражанага народу.",Рыгор Барадулін,svaboda.org_a_24255332.html
Сорам у спадчыну не пераходзіць.,Рыгор Барадулін,svaboda.org_a_24255332.html
"Якім бы велічным ні здаваўся трон, усё роўна на ім сядзіць задніца.",Рыгор Барадулін,svaboda.org_a_24255332.html
"І датуль чалавек жывы, покуль зь ім душа размаўляе.",Рыгор Барадулін,svaboda.org_a_24255332.html
"І датуль чалавек жывы, покуль зь ім душа размаўляе.",Рыгор Барадулін,svaboda.org_a_24255332.html
"Адчуваю сябе лепш, чым было, але горш, чым хацелася б.",Рыгор Барадулін,svaboda.org_a_24255332.html
Кожны раз чалавецтва бліжэй да шчасьця на вышыню нашых магіл.,Кастусь Каліноўскі,svaboda.org_a_24255332.html
"Не народ для ўрада, а ўрад для народа.",Кастусь Каліноўскі,svaboda.org_a_24255332.html
"Няма, браткі, большага шчасьця на гэтым сьвеце, як калі чалавек мае розум і навуку ў галаве.",Кастусь Каліноўскі,svaboda.org_a_24255332.html
"Мы павінны быць рабамі законаў для таго, каб мець магчымасьць карыстацца свабодай.",Леў Сапега,svaboda.org_a_24255332.html
"Для прыстойнага чалавека няма большай асалоды, як жыць у сваёй айчыне ў поўнай бясьпецы, ні з кім ня біцца і не сварыцца і каб ніхто яго не зьняславіў ці пакалечыў або паквапіўся на яго дабро.",Леў Сапега,svaboda.org_a_24255332.html
"Кожны народ мае хаця б адзін геніяльны твор, і гэты твор - мова.",Алесь Разанаў,svaboda.org_a_24255332.html
"Верш нараджаецца не з уласнага «хачу», а зь безабароннага «хочацца».",Алесь Разанаў,svaboda.org_a_24255332.html
"Час - люстэрка, у якім кожны ўбачыць сябе, як іншага.",Алесь Разанаў,svaboda.org_a_24255332.html
"Горай ня будзе, бо лепш не было.",Уладзімер Някляеў,svaboda.org_a_24255332.html
"Страта любові да сваёй краіны – самае страшнае з усяго, што ў нас адбылося. Страшней за самы страшны крызіс. Дэвальвацыя рубля нішто ў параўнаньні з дэвальвацыяй любові.",Уладзімер Някляеў,svaboda.org_a_24255332.html
"Як ад нараджэньня зьвяры, што ходзяць у пустыні, ведаюць ямы свае; птушкі, што лётаюць у паветры, ведаюць гнёзды свае; рыбы, што плаваюць па моры і ў рэках, чуюць віры свае; пчолы і тым падобныя бароняць вульлі свае, – так і людзі, дзе нарадзіліся і ўскормлены, да таго месца вялікую ласку маюць.",Францішак Скарына,svaboda.org_a_24255332.html
Кожны чалавек носіць сваё неба з сабой.,Уладзімер Караткевіч,svaboda.org_a_24255332.html
"Вечна тваім застанецца толькі тое, што ты аддаў.",Уладзімер Караткевіч,svaboda.org_a_24255332.html
"Абыякавы да мінулага ня мае аніякай інтэлектуальнай перавагі над жывёлай, і таму ёсьць першы кандыдат на маральную, а затым і фізычную сьмерць. Усё адно хто гэта - чалавек ці народ.",Уладзімер Караткевіч,svaboda.org_a_24255332.html
"Рабі нечаканае, рабі, як не бывае, рабі, як ня робіць ніхто - і тады пераможаш.",Уладзімер Караткевіч,svaboda.org_a_24255332.html
Дзеці – усьмешка Божая.,Уладзімер Караткевіч,svaboda.org_a_24255332.html
У савана няма кішэняў.,Уладзімер Караткевіч,svaboda.org_a_24255332.html
"Як заўжды на вайне, галоўная плата – кроў, і плаціць той, хто найменш вінаваты.",Васіль Быкаў,svaboda.org_a_24255332.html
"Праўда ў гісторыі – функцыя адназначная, зь яе робяць урокі. З хлусьні ніякіх урокаў ня зробіш, апроч новай хлусьні.",Васіль Быкаў,svaboda.org_a_24255332.html
"Чалавек, як i кожная жывая iстота ад Бога, нараджаецца свабодным.",Васіль Быкаў,svaboda.org_a_24255332.html
Порахам чалавека ня выхаваеш.,Васіль Быкаў,svaboda.org_a_24255332.html
"Пакуль дашукаесься адной школы з кніжкамі, пройдзеш трыццаць корчмаў з гарэлкай.",Аляксандар Ельскі,svaboda.org_a_24255332.html
"Быць паэтам знача ня толькі любоў зьняволеных землякоў, але й помста сільных ворагаў нашай зямлі і свабоды.",Ларыса Геніюш,svaboda.org_a_24255332.html
"У жыцьці няма нічога вечнага, бо жыцьцё самое да пары.",Ларыса Геніюш,svaboda.org_a_24255332.html
"Багацее ня той, хто шмат працуе, а той, хто ўмее гаспадарыць.",Зянон Пазьняк,svaboda.org_a_24255332.html
"Праходзіць час, і фатаграфія шчыміць.",Зянон Пазьняк,svaboda.org_a_24255332.html
"З Бацькаўшчынай — як з каханай, добра быць разам, ісьці па яе дарогах, ляцець, каб убачыць усю.",Зянон Пазьняк,svaboda.org_a_24255332.html
Яшчэ нікому не ўдавалася закратаваць вакно памяці.,Уладзімер Арлоў,svaboda.org_a_24255332.html
"Я ведаю людзей, якія задыхнуліся ад вострага недахопу свабоды.",Уладзімер Арлоў,svaboda.org_a_24255332.html
"Кожны пражыты дзень адкідае тое, што ёсьць, і набліжае тое, што будзе.",Кузьма Чорны,svaboda.org_a_24255332.html
"Каб сонца засланіць, вушэй асьліных мала.",Кандрат Крапіва,svaboda.org_a_24255332.html
"Народ можа дараваць пісьменьнікам многае, але ня можа дараваць маўчаньня ў часы, калі вырашаецца яго лёс.",Максім Танк,svaboda.org_a_24255332.html
Кажуць: зло нараджае зло. А найчасьцей – яго нараджае надзея на адпушчэньне грахоў.,Максім Танк,svaboda.org_a_24255332.html
"Усе дарогі бясконцыя, апрача той, якая вядзе на могілкі.",Максім Танк,svaboda.org_a_24255332.html
"Гісторыя нагадвае склад запасных частак, зь якога кожны цягне патрэбную для сябе дэталь.",Максім Танк,svaboda.org_a_24255332.html
"Самая большая памылка Бога, што ён стварыў чалавека, які стаў і яго забойцам...",Максім Танк,svaboda.org_a_24255332.html
"Ня вер, калі праклінаюць цябе званамі ўсіх званіц. Яны скрыта моляцца, цалуючы цябе.",Максім Танк,svaboda.org_a_24255332.html
"Я такіх паэтаў не страчаў, якія маглі б напісаць лепш, але напісалі горш.",Максім Танк,svaboda.org_a_24255332.html
"Зусім не хістаюцца слупы, асабліва – глыбока ўкапаныя.",Янка Брыль,svaboda.org_a_24255332.html
"Выжываць -- гэта любой цаною, а жыць -- гэта ўсё-ткі менш ці больш сумленна.",Янка Брыль,svaboda.org_a_24255332.html
Хто бачыў сьмерць душы?,Ігар Бабкоў,svaboda.org_a_24255332.html
"Паміраньне мовы такая ж натуральная зьява, як і нараджэньне яе. Быць можа, што і мая мова некалі памрэ. Як памру я сам, чалавек. І я аніяк не баюся натуральнай сьмерці. А от калі насільна паміраць – страшна.",Ян Скрыган,svaboda.org_a_24255332.html
"Не сумуйце, як тыя, што надзеі ня маюць.",Казімер Сваяк,svaboda.org_a_24255332.html
"Усё будзе добра, толькі нічога ня трэба рабіць.",Аляксандар Уласаў,svaboda.org_a_24255332.html
"Той сумленна рассудзіць, хто сабе не даруе...",Генадзь Бураўкін,svaboda.org_a_24255332.html
"Не цьвярдзі таго, за што ты ня можаш прысягнуць у імя чысьціні свайго сумленьня.",Язэп Драздовіч,svaboda.org_a_24255332.html
"І фанатыкі, і бязбожнікі, — адной маткі дзеці — крайнасьці... Няма жыцьця ў крайнасьці... Нішто не жывець, не расьцець у вагні, нішто не жывець, не расьцець у марозе. Толькі між агнём і марозам усё расьцець, усё цьвіцець, разьвіваецца, красуецца.",Язэп Драздовіч,svaboda.org_a_24255332.html
"Перад тварам сьмерці кожны ня рыцар, а толькі пілігрым-вандроўнік.",Макалай Крыштаф Радзівіл Сіротка,svaboda.org_a_24255332.html
"Дзе сёньня мяжа паміж свабодай і няволяй? Дзе крытэр, каб адрозьніць вольнага чалавека ад нявольніка? Гэтая мяжа – не турма. Сёньня ў турме можна быць больш вольным, чымся “на волі”. Мяжа паміж свабодай і няволяй у першую чаргу ў нас самых.",Аўген Калубовіч,svaboda.org_a_24255332.html
"Добра быць коласам, але шчасьлівы той, каму давялося быць васільком. Бо нашто каласы, калі няма васількоў?",Максім Багдановіч,svaboda.org_a_24255332.html
Хваробы лечаць і атрутамі.,Максім Багдановіч,svaboda.org_a_24255332.html
"Няма красы без спажытку, бо сама краса і ёсьць той спажытак для душы.",Максім Багдановіч,svaboda.org_a_24255332.html
"Менавіта нацыянальная ідэя спараджае ідэю палітычнага выбару, выбару свабоды.",Вінцук Вячорка,svaboda.org_a_24255332.html
Працэнт адказных людзей у грамадзтве наўрад ці моцна мяняецца. Адказных за сябе й ня толькі заўсёды меншасьць. Адказнасьцю не заразіш.,Вінцук Вячорка,svaboda.org_a_24255332.html
"Літаратурны набытак эміграцыі вызначаецца ня толькі тым, што ёй створана, але й тым, што яна зьберагла.",Аляксей Каўка,svaboda.org_a_24255332.html
Бяздушная еднасьць горш за духоўнае разьеднаньне.,Пётра Сяўрук,svaboda.org_a_24255332.html
"Нацыя -- гэта нішто іншае, як міт пра Нацыю.",Валянцін Акудовіч,svaboda.org_a_24255332.html
"Калі ты ня ўмееш сам забаўляцца, дык табой забаўляюцца іншыя.",Валянцін Акудовіч,svaboda.org_a_24255332.html
"Людзі гоняцца за багацьцем не дзеля таго, каб рабіць бліжнім дабро, а каб нічога не рабіць, або – што яшчэ горш – каб шкодзіць.",Ян Баршчэўскі,svaboda.org_a_24255332.html
Без чалавечнасьці ня будзе й вечнасьці.,Пімен Панчанка,svaboda.org_a_24255332.html
Чалавечае жыцьцё праходзіць паміж успамінам і надзеяй.,Ігнат Ходзька,svaboda.org_a_24255332.html
"Жыцьцё дзівоснае, калі да ўсяго ставісься як да тайны.",Сьвятлана Алексіевіч,svaboda.org_a_24255332.html
"Можа таму і памірае ад настальгіі чалавек, які пры жывой радзіме топча чужыя травы, лашчыць чужыя кветкі, чуе чужую мову сваіх дзяцей.",Янка Сіпакоў,svaboda.org_a_24255332.html
"Лепей памерці ад голаду, смагі і шчасьця ня ведаць спрадвеку, чым подласьць зрабіць хоць каму без развагі, тым болей – забіць чалавека.",Ян Чачот,svaboda.org_a_24255332.html
Людзі доўга не жывуць.,Барыс Пятровіч,svaboda.org_a_24255332.html
"Нішто так не вядзе каралеўства да хуткага заняпаду і зьнішчэньня, як наступ на веру.",Мялеці Сматрыцкі,svaboda.org_a_24255332.html
"Эх, чалавек, чалавек! Усё роўна не дабіцца табе, адкуль усё і што яно…",Максім Гарэцкі,svaboda.org_a_24255332.html
"Разумнаму слава -- што крылы, а дурню – камень ці пятля.",Пятрусь Броўка,svaboda.org_a_24255332.html
Вёрстаў кіямі ня зьлічыш.,Уладзімер Дудзіцкі,svaboda.org_a_24255332.html
"Воля аплачваецца крывёй, рабскае жыцьцё -- боязьзю, а выбар робіць сумленьне.",Кастусь Тарасаў,svaboda.org_a_24255332.html
"Статуты патрэбныя кожнай дзяржаве, як вочы целу.",Пётр Скарга,svaboda.org_a_24255332.html
Менавіта супраціў націску нараджае пачуцьцё свабоды.,Юры Дракахруст,svaboda.org_a_24255332.html
"Чалавек — гэта правіла, якое складаецца з адных выключэньняў.",Фёдар Яфімаў,svaboda.org_a_24255332.html
"Шануй чужое аж да пакланеньня, сваё любі да самазабыцьця.",Пятро Бітэль,svaboda.org_a_24255332.html
